match_id,team1,team2,venue,first_innings_team,is_team1_batting_first,home_advantage,h2h_win_rate,recent_form_t1,recent_form_t2,team1_overall_win_rate,team2_overall_win_rate,avg_score_venue,toss_venue_win_rate,venue_win_rate_t1,venue_win_rate_t2,t1_top_batsmen_avg,t2_top_batsmen_avg,t1_top_bowler_econ,t2_top_bowler_econ,team1_won
1360,England,Pakistan,Kensington Oval,Pakistan,0,0,0.5,0.3,0.7,0.37,0.724,160.9,0.485,0.5285,0.5,5,10.4,8.64,6.88,1
1361,New Zealand,South Africa,Kensington Oval,South Africa,0,0,0.25,0.5,0.7,0.429,0.615,160.9,0.485,0.5285,0.5,25.1,24.5,6.94,6.98,0
1362,Australia,India,Kensington Oval,Australia,1,0,0.333,0.6,0.4,0.548,0.55,160.9,0.485,0.5285,0.5,32.5,24.5,6.94,6.98,1
1363,West Indies,Sri Lanka,Kensington Oval,Sri Lanka,0,0,0,0.5,0.4,0.435,0.56,160.9,0.485,0.5285,0.5,25.1,24.5,6.94,6.98,0
1365,England,South Africa,Kensington Oval,England,1,0,0.25,0.4,0.7,0.393,0.63,155.7,0.667,0.5285,0.5,5,24.5,8.64,6.98,1
1364,New Zealand,Pakistan,Kensington Oval,New Zealand,1,0,0,0.5,0.6,0.417,0.7,155.7,0.667,0.5285,0.5,25.1,10.57,6.94,6.82,1
1367,Australia,Sri Lanka,Kensington Oval,Australia,1,0,0.5,0.7,0.4,0.562,0.577,154.4,0.75,0.667,0.5,32.5,24.5,6.94,6.98,1
1366,West Indies,India,Kensington Oval,West Indies,1,0,1,0.4,0.4,0.417,0.524,154.4,0.75,0.5285,0.5,25.1,24.5,6.94,6.98,1
1368,Pakistan,South Africa,Beausejour Stadium,Pakistan,1,0,1,0.5,0.6,0.677,0.607,160.9,0.507,0.5285,0.5,10.57,24.5,6.77,6.98,1
1369,England,New Zealand,Beausejour Stadium,New Zealand,0,0,0.75,0.4,0.5,0.414,0.432,160.9,0.507,0.5285,0.5,5,24.5,8.64,6.98,1
1370,India,Sri Lanka,Beausejour Stadium,India,1,0,0.667,0.4,0.3,0.5,0.556,169.2,0.8,0.5285,0.5,25.1,24.5,6.94,6.98,0
1371,West Indies,Australia,Beausejour Stadium,West Indies,1,0,0.5,0.5,0.8,0.44,0.576,169.2,0.8,0.5285,0.5,25.1,32.5,6.94,6.98,0
1372,England,Sri Lanka,Beausejour Stadium,Sri Lanka,0,0,0,0.5,0.4,0.433,0.571,159.1,0.571,0.5285,0.5,5,24.5,8.64,6.98,1
1373,Australia,Pakistan,Beausejour Stadium,Pakistan,0,0,0.5,0.9,0.5,0.588,0.688,155.2,0.5,0.5285,0.667,32.5,10.57,6.94,6.81,1
1374,Australia,England,Kensington Oval,Australia,1,0,0.5,0.9,0.6,0.6,0.452,157.2,0.8,0.75,0.5,32.5,5,6.94,8.64,0
1387,West Indies,South Africa,Sir Vivian Richards Stadium,South Africa,0,0,0.25,0.4,0.5,0.423,0.586,160.9,0.49,0.5285,0.5,25.1,24.5,6.94,6.98,0
1397,West Indies,South Africa,Sir Vivian Richards Stadium,South Africa,0,0,0.2,0.4,0.5,0.407,0.6,160.9,0.493,0.5285,0.5,25.1,24.5,6.94,6.98,0
1400,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,1,0,0.571,0.4,0.4,0.421,0.552,160.9,0.497,0.5285,0.5,25.1,24.5,6.94,6.98,1
1401,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,1,0,0.625,0.5,0.4,0.436,0.533,160.9,0.5,0.5285,0.5,25.1,24.5,6.94,6.98,0
1398,Zimbabwe,India,Harare Sports Club,Zimbabwe,1,0,0.5,0.4,0.3,0.4,0.478,160.9,0.497,0.5285,0.5,1,24.5,6.94,6.98,0
1399,Zimbabwe,India,Harare Sports Club,Zimbabwe,1,0,0,0.333,0.3,0.333,0.5,160.9,0.493,0.5285,0.5,15.5,24.5,6.94,6.98,0
1378,Australia,Pakistan,Edgbaston,Pakistan,0,0,0.6,0.8,0.4,0.583,0.667,160.9,0.49,0.5285,0.5,32.5,10.57,6.94,6.81,0
1379,Australia,Pakistan,Edgbaston,Pakistan,0,0,0.5,0.7,0.4,0.568,0.676,160.9,0.494,0.5285,0.5,32.8,10.55,6.94,6.78,0
1380,England,Pakistan,Sophia Gardens,Pakistan,0,0,0.6,0.6,0.5,0.469,0.686,160.9,0.497,0.5285,0.5,5,12.2,8.64,6.79,1
1381,England,Pakistan,Sophia Gardens,Pakistan,0,0,0.667,0.7,0.5,0.485,0.667,160.9,0.494,0.5285,0.5,5,13,8.64,6.81,1
1403,South Africa,Zimbabwe,OUTsurance Oval,Zimbabwe,0,0,0.5,0.5,0.286,0.613,0.286,160.9,0.49,0.5285,0.5,33,15.5,6.94,7.25,1
1404,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,1,0,1,0.5,0.25,0.625,0.25,160.9,0.487,0.5285,0.5,34.5,15.5,6.94,7.25,1
1411,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,1,0,1,0.4,0.6,0.649,0.636,160.9,0.491,0.5285,0.5,13,31.33,6.81,6.98,0
1402,Pakistan,South Africa,Sheikh Zayed Stadium,Pakistan,1,0,0.667,0.3,0.7,0.632,0.647,160.9,0.488,0.5285,0.5,13,26.75,6.81,6.98,0
1394,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,1,0,0.667,0.6,0.5,0.553,0.548,160.9,0.484,0.5285,0.5,26.2,24.5,6.94,6.98,0
1406,New Zealand,Pakistan,Eden Park,Pakistan,0,0,0.2,0.5,0.3,0.425,0.615,158.8,0.4,0.2,0.5,25.1,13.15,6.94,6.59,1
1407,New Zealand,Pakistan,Seddon Park,New Zealand,1,0,0.333,0.5,0.3,0.439,0.6,160.9,0.479,0.5285,0.5,25.1,13.75,6.94,6.57,1
1408,New Zealand,Pakistan,AMI Stadium,Pakistan,0,0,0.429,0.6,0.3,0.452,0.585,160.9,0.482,0.5285,0.5,25.1,13.75,6.94,6.57,0
1405,South Africa,India,Moses Mabhida Stadium,India,0,0,0.25,0.7,0.4,0.657,0.52,160.9,0.485,0.5285,0.5,22.6,24.5,6.94,6.98,0
1395,Australia,England,Adelaide Oval,Australia,1,1,0.4,0.6,0.7,0.538,0.5,156.9,0.488,0.5285,0.5,25.7,5,6.94,8.64,0
1396,Australia,England,Melbourne Cricket Ground,Australia,1,1,0.333,0.5,0.8,0.525,0.514,156.9,0.485,1,0.5,24.6,5,6.94,8.64,1
1412,West Indies,Pakistan,Beausejour Stadium,West Indies,1,0,0.5,0.3,0.3,0.393,0.595,159.2,0.444,0.5285,0.5,25.1,14.2,6.94,6.37,1
